context,question,gold,category,predicted,exact_match,numeric_faithful,hybrid_f1
"The Global Findex defines inactive accounts as those into or out of which no deposits, withdrawals, or incoming or outgoing digital payments have been received or made in the past year.1 The average 6 percent account inactivity in 2024 is similar to the percentage in 2021. The share of adults whose accounts are inactive varies across lowand middle-income economies. It is especially high in India, where 14 percent of adults—16 percent of account owners—do not have an active account (refer to figure S3.1.1).","True or False: Based on the provided text, The share of adults whose accounts are inactive varies across lowand middle-income economies.",True,Knowledge - Fact Verification,True,1,,1.0
"The share of adults whose accounts are inactive varies across lowand middle-income economies. It is especially high in India, where 14 percent of adults—16 percent of account owners—do not have an active account (refer to figure S3.1.1). If India is excluded from the lowand middle-income average, the share of adults who do not have an active account falls to 3 percent, or 4 percent of account owners.","According to the text, fill in the blank: It is especially high in India, where ___ of adults—16 percent of account owners—do not have an active account (refer to figure S3.1.1).?",14 percent,Knowledge - Statistics,14 percent,1,1.0,1.0
"It is especially high in India, where 14 percent of adults—16 percent of account owners—do not have an active account (refer to figure S3.1.1). If India is excluded from the lowand middle-income average, the share of adults who do not have an active account falls to 3 percent, or 4 percent of account owners. 198 The Global Findex Database 2025 Figure S3.1.1 In India, 16 percent of account owners do not have an active account; the average for all other lowand middle-income economies is 4 percent Adults with an account (%), 2024 Lowand middleincome economies (excluding India) India 0 10 20 30 40 50 60 70 80 90 Active account Inactive account Source: Global Findex Database 2025.","According to the text, fill in the blank: If India is excluded from the lowand middle-income average, the share of adults who do not have an active account falls to ___, or 4 percent of account owners.?",3 percent,Knowledge - Statistics,3,1,1.0,1.0
"If India is excluded from the lowand middle-income average, the share of adults who do not have an active account falls to 3 percent, or 4 percent of account owners. 198 The Global Findex Database 2025 Figure S3.1.1 In India, 16 percent of account owners do not have an active account; the average for all other lowand middle-income economies is 4 percent Adults with an account (%), 2024 Lowand middleincome economies (excluding India) India 0 10 20 30 40 50 60 70 80 90 Active account Inactive account Source: Global Findex Database 2025. Note: In Algeria, China, the Islamic Republic of Iran, Libya, Mauritius, and Ukraine, where an abridged questionnaire was administered, account inactivity was defined as cases in which adults with an account had not made a digital payment, had not made a digital merchant payment, and had not accessed their account via a debit or credit card or phone in the past year.","According to the text, fill in the blank: 198 The Global Findex Database 2025 Figure S3.1.1 In India, ___ of account owners do not have an active account; the average for all other lowand middle-income economies is 4 percent Adults with an account (%), 2024 Lowand middleincome economies (excluding India) India 0 10 20 30 40 50 60 70 80 90 Active account Inactive account Source: Global Findex Database 2025.?",16 percent,Knowledge - Statistics,16 percent,1,1.0,1.0
"198 The Global Findex Database 2025 Figure S3.1.1 In India, 16 percent of account owners do not have an active account; the average for all other lowand middle-income economies is 4 percent Adults with an account (%), 2024 Lowand middleincome economies (excluding India) India 0 10 20 30 40 50 60 70 80 90 Active account Inactive account Source: Global Findex Database 2025. Note: In Algeria, China, the Islamic Republic of Iran, Libya, Mauritius, and Ukraine, where an abridged questionnaire was administered, account inactivity was defined as cases in which adults with an account had not made a digital payment, had not made a digital merchant payment, and had not accessed their account via a debit or credit card or phone in the past year. Because of a lack of data, the average for lowand middle-income economies excludes the Russian Federation.","True or False: Based on the provided text, Note: In Algeria, China, the Islamic Republic of Iran, Libya, Mauritius, and Ukraine, where an abridged questionnaire was administered, account inactivity was defined as cases in which adults with an account had not made a digital payment, had not made a digital merchant payment, and had not accessed their account via a debit or credit card or phone in the past year.",True,Knowledge - Fact Verification,True,1,,1.0
"Because of a lack of data, the average for lowand middle-income economies excludes the Russian Federation. India has made progress in increasing the share of adults with active accounts Despite its comparatively low rate of active accounts, both the absolute number and the percentage of adults with active accounts in India has increased. In addition, more men than women own active accounts, though the gender gap in ownership of active accounts as a percentage of account owners fell from 12 percentage points in 2021 to 7 percentage points in 2024 (refer to figure S3.1.2).","True or False: Based on the provided text, India has made progress in increasing the share of adults with active accounts Despite its comparatively low rate of active accounts, both the absolute number and the percentage of adults with active accounts in India has increased.",True,Knowledge - Fact Verification,True,1,,1.0
"India has made progress in increasing the share of adults with active accounts Despite its comparatively low rate of active accounts, both the absolute number and the percentage of adults with active accounts in India has increased. In addition, more men than women own active accounts, though the gender gap in ownership of active accounts as a percentage of account owners fell from 12 percentage points in 2021 to 7 percentage points in 2024 (refer to figure S3.1.2). This decrease may be due to the large increase over the same period in women receiving governmentto-person (G2P) payments digitally, from 13 percent in 2021 (59 percent of women receiving a G2P payment) to 24 percent in 2024 (81 percent of women receiving a G2P payment).","According to the text, fill in the blank: In addition, more men than women own active accounts, though the gender gap in ownership of active accounts as a percentage of account owners fell from ___age points in 2021 to 7 percentage points in 2024 (refer to figure S3.1.2).?",12 percent,Knowledge - Statistics,12,1,1.0,1.0
"In addition, more men than women own active accounts, though the gender gap in ownership of active accounts as a percentage of account owners fell from 12 percentage points in 2021 to 7 percentage points in 2024 (refer to figure S3.1.2). This decrease may be due to the large increase over the same period in women receiving governmentto-person (G2P) payments digitally, from 13 percent in 2021 (59 percent of women receiving a G2P payment) to 24 percent in 2024 (81 percent of women receiving a G2P payment). Account usage and inactivity 199 Figure S3.1.2 In India, the share of both women and men with only inactive accounts decreased between 2021 and 2024 Adults with an account (%), 2021–24 30 20 10 0 90 40 50 60 70 80 Inactive account Active account Women 2021 Men Women Men 2024 Source: Global Findex Database 2025.","According to the text, fill in the blank: This decrease may be due to the large increase over the same period in women receiving governmentto-person (G2P) payments digitally, from ___ in 2021 (59 percent of women receiving a G2P payment) to 24 percent in 2024 (81 percent of women receiving a G2P payment).?",13 percent,Knowledge - Statistics,59,0,0.0,0.0
"This decrease may be due to the large increase over the same period in women receiving governmentto-person (G2P) payments digitally, from 13 percent in 2021 (59 percent of women receiving a G2P payment) to 24 percent in 2024 (81 percent of women receiving a G2P payment). Account usage and inactivity 199 Figure S3.1.2 In India, the share of both women and men with only inactive accounts decreased between 2021 and 2024 Adults with an account (%), 2021–24 30 20 10 0 90 40 50 60 70 80 Inactive account Active account Women 2021 Men Women Men 2024 Source: Global Findex Database 2025. Data on frequency of usage suggest cash is still dominant The issue of account activity broadly relates to the role of transaction frequency and patterns of account use.","True or False: Based on the provided text, Account usage and inactivity 199 Figure S3.1.2 In India, the share of both women and men with only inactive accounts decreased between 2021 and 2024 Adults with an account (%), 2021–24 30 20 10 0 90 40 50 60 70 80 Inactive account Active account Women 2021 Men Women Men 2024 Source: Global Findex Database 2025.",True,Knowledge - Fact Verification,True,1,,1.0
"To provide data for a better understanding of this, the Global Findex 2025 asks, separately, adults with accounts at banks or similar financial institutions and adults with mobile money accounts in Sub-Saharan Africa about how often in a typical month they deposit money into their accounts and how frequently they withdraw or send money—including as a payment—from their accounts. 200 The Global Findex Database 2025 Frequency of usage of bank and similar financial institution accounts points to transactions primarily in cash When inflows are the focus, across lowand middle-income economies, the largest share of owners of accounts at banks or similar financial institutions, 40 percent, deposit money into their accounts at monthly intervals. These monthly deposits might be wages from employers, government transfer payments, or money from family living elsewhere.","According to the text, fill in the blank: 200 The Global Findex Database 2025 Frequency of usage of bank and similar financial institution accounts points to transactions primarily in cash When inflows are the focus, across lowand middle-income economies, the largest share of owners of accounts at banks or similar financial institutions, ___, deposit money into their accounts at monthly intervals.?",40 percent,Knowledge - Statistics,40 percent,1,1.0,1.0
"These monthly deposits might be wages from employers, government transfer payments, or money from family living elsewhere. Only 11 percent of these account holders make deposits weekly. In comparison, 33 percent of adults with accounts at banks or similar financial institutions send or withdraw money from their accounts monthly, whereas 19 percent do so weekly (refer to figure S3.1.3).","According to the text, fill in the blank: Only ___ of these account holders make deposits weekly.?",11 percent,Knowledge - Statistics,11,1,1.0,1.0
"Only 11 percent of these account holders make deposits weekly. In comparison, 33 percent of adults with accounts at banks or similar financial institutions send or withdraw money from their accounts monthly, whereas 19 percent do so weekly (refer to figure S3.1.3). In regions such as the Middle East and North Africa, where the majority of adults both deposit and withdraw money at monthly intervals, this pattern suggests that accounts are used primarily for receiving payments.","According to the text, fill in the blank: In comparison, ___ of adults with accounts at banks or similar financial institutions send or withdraw money from their accounts monthly, whereas 19 percent do so weekly (refer to figure S3.1.3).?",33 percent,Knowledge - Statistics,33 percent,1,1.0,1.0
"In comparison, 33 percent of adults with accounts at banks or similar financial institutions send or withdraw money from their accounts monthly, whereas 19 percent do so weekly (refer to figure S3.1.3). In regions such as the Middle East and North Africa, where the majority of adults both deposit and withdraw money at monthly intervals, this pattern suggests that accounts are used primarily for receiving payments. People typically receive wage or transfer payments once a month, withdraw most or all of the money from those payments soon after, and continue to transact primarily in cash.","True or False: Based on the provided text, In regions such as the Middle East and North Africa, where the majority of adults both deposit and withdraw money at monthly intervals, this pattern suggests that accounts are used primarily for receiving payments.",True,Knowledge - Fact Verification,True,1,,1.0
"Another possibility is that account owners use their accounts for safe storage of money and withdraw cash weekly because they do not want too much cash on hand for security reasons. In East Asia and Pacific, Europe and Central Asia, and Latin America and the Caribbean, about 10 percent of adults had monthly inflows into their accounts, but weekly outflows from them. A more developed digital ecosystem could encourage people to keep money in their accounts, enabling them to store it more safely, reducing impulse spending, and increasing the convenience of making digital payments.","According to the text, fill in the blank: In East Asia and Pacific, Europe and Central Asia, and Latin America and the Caribbean, about ___ of adults had monthly inflows into their accounts, but weekly outflows from them.?",10 percent,Knowledge - Statistics,10,1,1.0,1.0
"In East Asia and Pacific, Europe and Central Asia, and Latin America and the Caribbean, about 10 percent of adults had monthly inflows into their accounts, but weekly outflows from them. A more developed digital ecosystem could encourage people to keep money in their accounts, enabling them to store it more safely, reducing impulse spending, and increasing the convenience of making digital payments. Account usage and inactivity 201 Figure S3.1.3 In many lowand middle-income economies, deposits are monthly and withdrawals are more frequent, indicating increasing use of accounts Adults with an account at a bank or similar financial institution (standardized to 100%), 2024 0 20 30 40 50 60 70 80 90 10 100 East Asia and Pacific Received or deposited money Sent or withdrew money Europe and Central Asia Received or deposited money Sent or withdrew money Latin America and the Caribbean Received or deposited money Sent or withdrew money Middle East and North Africa Received or deposited money Sent or withdrew money South Asia Received or deposited money Sent or withdrew money Sub-Saharan Africa Received or deposited money Sent or withdrew money Weekly Monthly Less than once a month Never Source: Global Findex Database 2025.","True or False: Based on the provided text, A more developed digital ecosystem could encourage people to keep money in their accounts, enabling them to store it more safely, reducing impulse spending, and increasing the convenience of making digital payments.",True,Knowledge - Fact Verification,True,1,,1.0
"A more developed digital ecosystem could encourage people to keep money in their accounts, enabling them to store it more safely, reducing impulse spending, and increasing the convenience of making digital payments. Account usage and inactivity 201 Figure S3.1.3 In many lowand middle-income economies, deposits are monthly and withdrawals are more frequent, indicating increasing use of accounts Adults with an account at a bank or similar financial institution (standardized to 100%), 2024 0 20 30 40 50 60 70 80 90 10 100 East Asia and Pacific Received or deposited money Sent or withdrew money Europe and Central Asia Received or deposited money Sent or withdrew money Latin America and the Caribbean Received or deposited money Sent or withdrew money Middle East and North Africa Received or deposited money Sent or withdrew money South Asia Received or deposited money Sent or withdrew money Sub-Saharan Africa Received or deposited money Sent or withdrew money Weekly Monthly Less than once a month Never Source: Global Findex Database 2025. Note: Because of a lack of data, averages exclude Algeria, China, the Islamic Republic of Iran, Libya, Mauritius, the Russian Federation, and Ukraine.","According to the text, fill in the blank: Account usage and inactivity 201 Figure S3.1.3 In many lowand middle-income economies, deposits are monthly and withdrawals are more frequent, indicating increasing use of accounts Adults with an account at a bank or similar financial institution (standardized to ___), 2024 0 20 30 40 50 60 70 80 90 10 100 East Asia and Pacific Received or deposited money Sent or withdrew money Europe and Central Asia Received or deposited money Sent or withdrew money Latin America and the Caribbean Received or deposited money Sent or withdrew money Middle East and North Africa Received or deposited money Sent or withdrew money South Asia Received or deposited money Sent or withdrew money Sub-Saharan Africa Received or deposited money Sent or withdrew money Weekly Monthly Less than once a month Never Source: Global Findex Database 2025.?",100%,Knowledge - Statistics,100%,1,1.0,1.0
"This likely reflects the greater convenience and affordability of depositing money through local mobile money agents, rather than traveling to a bank branch or ATM. Figure S3.1.4 Among mobile money account owners in Sub-Saharan Africa, a larger share had more frequent outflows than inflows, pointing to the convenience of mobile money for making digital payments Adults with a mobile money account (standardized to 100%), 2024 Monthly Weekly Less than once a month Never 30 20 10 0 70 80 90 100 60 50 40 Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Central Africa East Africa Southern Africa West Africa Source: Global Findex Database 2025. Account usage and inactivity 203 In all subregions with the exception of Central Africa, more than half of adults with mobile money accounts deposit and send or withdraw money at least once a month.","According to the text, fill in the blank: Figure S3.1.4 Among mobile money account owners in Sub-Saharan Africa, a larger share had more frequent outflows than inflows, pointing to the convenience of mobile money for making digital payments Adults with a mobile money account (standardized to ___), 2024 Monthly Weekly Less than once a month Never 30 20 10 0 70 80 90 100 60 50 40 Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Central Africa East Africa Southern Africa West Africa Source: Global Findex Database 2025.?",100%,Knowledge - Statistics,60,0,0.0,0.0
"Figure S3.1.4 Among mobile money account owners in Sub-Saharan Africa, a larger share had more frequent outflows than inflows, pointing to the convenience of mobile money for making digital payments Adults with a mobile money account (standardized to 100%), 2024 Monthly Weekly Less than once a month Never 30 20 10 0 70 80 90 100 60 50 40 Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Received or deposited money Sent or withdrew money Central Africa East Africa Southern Africa West Africa Source: Global Findex Database 2025. Account usage and inactivity 203 In all subregions with the exception of Central Africa, more than half of adults with mobile money accounts deposit and send or withdraw money at least once a month. Furthermore, about 20 percent make weekly deposits, whereas about 30 percent withdraw or send money at least weekly.","True or False: Based on the provided text, Account usage and inactivity 203 In all subregions with the exception of Central Africa, more than half of adults with mobile money accounts deposit and send or withdraw money at least once a month.",True,Knowledge - Fact Verification,True,1,,1.0
"Half never got their money back. Around 40% of bank account owners have checked their account balances with their phone or a computer, and the same share have received account information via email or text. 209 4.1 Managing financial worrying A reproducibility package is available for this book in the Reproducible Research Repository at https://reproducibility.worldbank.org/catalog/299.","According to the text, fill in the blank: Around ___ of bank account owners have checked their account balances with their phone or a computer, and the same share have received account information via email or text.?",40%,Knowledge - Statistics,40%,1,1.0,1.0
"For example, in South Asia, school fees are the second-most-prevalent worry for wealthier adults, nudging out medical expenses. In Europe and Central Asia, saving for old age occupies third place among wealthier adults, taking precedence by 10 percentage points over the fourth-place worry, school fees. Borrowing, saving, and insurance could offer people more options for managing needs and pursuing goals Financial services provide ways for people to manage their financial lives and potentially mitigate their financial worries.","According to the text, fill in the blank: In Europe and Central Asia, saving for old age occupies third place among wealthier adults, taking precedence by ___age points over the fourth-place worry, school fees.?",10 percent,Knowledge - Statistics,ten,1,1.0,1.0
"In Europe and Central Asia, saving for old age occupies third place among wealthier adults, taking precedence by 10 percentage points over the fourth-place worry, school fees. Borrowing, saving, and insurance could offer people more options for managing needs and pursuing goals Financial services provide ways for people to manage their financial lives and potentially mitigate their financial worries. Insurance is the financial product most clearly associated with helping people mitigate stress and manage risk.","True or False: Based on the provided text, Borrowing, saving, and insurance could offer people more options for managing needs and pursuing goals Financial services provide ways for people to manage their financial lives and potentially mitigate their financial worries.",True,Knowledge - Fact Verification,True,1,,1.0
"In Sub-Saharan Africa, though the share of adults who borrowed for a business was the largest of any region, the smallest share of them had access to formal borrowing compared with those in other regions. It may be that business owners in the region have fewer options for formal credit than business owners in East Asia and Pacific and Latin America and the Caribbean, where about 70 percent of adults who borrowed for business purposes also had access to formal credit through a financial institution, digital credit, or a credit card. Figure 4.1.4 Sub-Saharan Africa has the largest share of adults borrowing for a business Adults borrowing to start or operate a business in the past year (%), 2024 0 20 10 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa 7 Karlan, Mullainathan, and Roth (2019); Skiba and Tobacman (2008).","According to the text, fill in the blank: It may be that business owners in the region have fewer options for formal credit than business owners in East Asia and Pacific and Latin America and the Caribbean, where about ___ of adults who borrowed for business purposes also had access to formal credit through a financial institution, digital credit, or a credit card.?",70 percent,Knowledge - Statistics,70,1,1.0,1.0
"Managing financial worrying 219 Saving for old age can help mitigate worry about the future Saving for a specific purpose offers another way for people to manage their financial priorities. For example, across lowand middle-income economies, 18 percent of adults save formally in an account and save for old age. Of adults who report money for old age as their primary financial worry, 29 percent save specifically for this purpose.","According to the text, fill in the blank: For example, across lowand middle-income economies, ___ of adults save formally in an account and save for old age.?",18 percent,Knowledge - Statistics,18 percent,1,1.0,1.0
"Of adults who report money for old age as their primary financial worry, 29 percent save specifically for this purpose. The data show sharp regional differences in regard to saving for old age (refer to figure 4.1.5). More than a third of adults in East Asia and Pacific save for old age—a share whose large size is driven by the 43 percent of adults in China saving for this purpose—compared with less than 10 percent in Latin America and the Caribbean, the Middle East and North Africa, South Asia, and Sub-Saharan Africa.","True or False: Based on the provided text, The data show sharp regional differences in regard to saving for old age (refer to figure 4.1.5).",True,Knowledge - Fact Verification,True,1,,1.0
"The data show sharp regional differences in regard to saving for old age (refer to figure 4.1.5). More than a third of adults in East Asia and Pacific save for old age—a share whose large size is driven by the 43 percent of adults in China saving for this purpose—compared with less than 10 percent in Latin America and the Caribbean, the Middle East and North Africa, South Asia, and Sub-Saharan Africa. Saving for old age might be difficult, especially because it has a long time horizon and requires long-term commitment to keeping in savings the money intended for use in retirement.","According to the text, fill in the blank: More than a third of adults in East Asia and Pacific save for old age—a share whose large size is driven by the ___ of adults in China saving for this purpose—compared with less than 10 percent in Latin America and the Caribbean, the Middle East and North Africa, South Asia, and Sub-Saharan Africa.?",43 percent,Knowledge - Statistics,43 percent,1,1.0,1.0
"Some research even finds that emergency savings are a strong predictor of financial health.8 Generic savings accounts can encourage people to save money to achieve their financial goals9 and increase their ability to cope with unexpected expenses;10 commitment savings accounts—those that include “nudging” features to provide account holders with incentives for saving—help increase the amount people save.11 Informal savings are also shifting to formal accounts, as more affordable and accessible options become available, including ones leveraging mobile technology, as discussed in chapter 3.1. Though encouraging saving among the poor may be thought of as challenging given their low incomes, research finds that even very poor people are able to save when given the tools to do so, including affordable accounts with no or low transaction fees for small deposits.12 Global Findex 2025 data on what private sector earners do with wages paid into their accounts also suggest opportunities. As discussed in chapter 3.3, 32 percent of adults in lowand middle-income economies receive wage payments in financial accounts,13 and about 36 percent of those receiving wage payments in accounts—or 12 percent of all adults—leave some of that money in their accounts. The share of adults leaving money in accounts is higher than the average in East Asia and Pacific (16 percent), Europe and Central Asia (23 percent), and 8 Costa, de la Fuente, and Martino (2025).","According to the text, fill in the blank: As discussed in chapter 3.3, ___ of adults in lowand middle-income economies receive wage payments in financial accounts,13 and about 36 percent of those receiving wage payments in accounts—or 12 percent of all adults—leave some of that money in their accounts.?",32 percent,Knowledge - Statistics,32 percent,1,1.0,1.0
"As discussed in chapter 3.3, 32 percent of adults in lowand middle-income economies receive wage payments in financial accounts,13 and about 36 percent of those receiving wage payments in accounts—or 12 percent of all adults—leave some of that money in their accounts. The share of adults leaving money in accounts is higher than the average in East Asia and Pacific (16 percent), Europe and Central Asia (23 percent), and 8 Costa, de la Fuente, and Martino (2025). 9 Karlan and Linden (2025).","According to the text, fill in the blank: The share of adults leaving money in accounts is higher than the average in East Asia and Pacific (___), Europe and Central Asia (23 percent), and 8 Costa, de la Fuente, and Martino (2025).?",16 percent,Knowledge - Statistics,16 percent,1,1.0,1.0
"Managing financial worrying 221 Latin America and the Caribbean (17 percent). Behavioral incentives might persuade more people to earmark some of that money for savings, and even for specific purposes, including saving for old age. Additional incentives, such as awarding interest to people who meet certain thresholds for amounts saved or matching the amounts they save, may likewise help grow savings balances.","True or False: Based on the provided text, Behavioral incentives might persuade more people to earmark some of that money for savings, and even for specific purposes, including saving for old age.",True,Knowledge - Fact Verification,True,1,,1.0
"For example, natural disasters or extreme weather events are becoming more frequent in lowand middle-income economies (refer to spotlight 4.1 at the end of this section for a discussion of natural disasters). After family or friends, savings and working extra hours are the second-mostpopular sources of emergency money, each preferred by about 20 percent of adults across lowand middle-income economies. The share of adults who can reliably draw money from savings increased by 4 percentage points between 2021 and 2024, which might be related to increases in overall saving rates (formal and informal) of 12 percentage points reported in chapter 3.1.2 Among adults with any savings in lowand middle-income economies, a third say that they would rely on those savings as a source of emergency money.","According to the text, fill in the blank: After family or friends, savings and working extra hours are the second-mostpopular sources of emergency money, each preferred by about ___ of adults across lowand middle-income economies.?",20 percent,Knowledge - Statistics,20,1,1.0,1.0
"After family or friends, savings and working extra hours are the second-mostpopular sources of emergency money, each preferred by about 20 percent of adults across lowand middle-income economies. The share of adults who can reliably draw money from savings increased by 4 percentage points between 2021 and 2024, which might be related to increases in overall saving rates (formal and informal) of 12 percentage points reported in chapter 3.1.2 Among adults with any savings in lowand middle-income economies, a third say that they would rely on those savings as a source of emergency money. Of all adults, 21 percent say the same.","According to the text, fill in the blank: The share of adults who can reliably draw money from savings increased by ___age points between 2021 and 2024, which might be related to increases in overall saving rates (formal and informal) of 12 percentage points reported in chapter 3.1.2 Among adults with any savings in lowand middle-income economies, a third say that they would rely on those savings as a source of emergency money.?",4 percent,Knowledge - Statistics,4,1,1.0,1.0
"Of all adults, 21 percent say the same. Among adults who save formally, 38 percent would rely on their savings in an emergency. Savings are the most reliable source of extra money.","According to the text, fill in the blank: Among adults who save formally, ___ would rely on their savings in an emergency.?",38 percent,Knowledge - Statistics,38 percent,1,1.0,1.0
"Among adults who save formally, 38 percent would rely on their savings in an emergency. Savings are the most reliable source of extra money. Nearly all adults who rely on them say they could access extra money to deal with a shock with little to no difficulty.","True or False: Based on the provided text, Savings are the most reliable source of extra money.",True,Knowledge - Fact Verification,True,1,,1.0
"Nearly all adults who rely on them say they could access extra money to deal with a shock with little to no difficulty. In East Asia and Pacific and Europe and Central Asia, where overall resilience remained steady, the share of adults who reported having reliable savings to draw from increased by 6 and 5 percentage points, respectively (refer to figure 4.2.3). In East Asia and Pacific, this increase coincided with a decrease in reliance on working for extra money to mitigate a financial shock, and in Europe and Central Asia, with decreased reliance on borrowing.","According to the text, fill in the blank: In East Asia and Pacific and Europe and Central Asia, where overall resilience remained steady, the share of adults who reported having reliable savings to draw from increased by 6 and ___age points, respectively (refer to figure 4.2.3).?",5 percent,Knowledge - Statistics,5,1,1.0,1.0
"In East Asia and Pacific, this increase coincided with a decrease in reliance on working for extra money to mitigate a financial shock, and in Europe and Central Asia, with decreased reliance on borrowing. 2 Recall that as discussed in chapter 3.1, an increase in the saving rate refers to the share of adults who save, not how much they save. Financial resilience 231 Figure 4.2.3 The share of adults relying on savings for extra money increased in lowand middle-income economies Adults who could access savings in an emergency in 30 days or less with some or no difficulty (%), 2021–24 0 20 10 30 40 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia SubSaharan Africa 2021 2024 2021 2024 2021 2024 2021 2024 2021 2024 2021 2024 Source: Global Findex Database 2025.","True or False: Based on the provided text, 2 Recall that as discussed in chapter 3.1, an increase in the saving rate refers to the share of adults who save, not how much they save.",True,Knowledge - Fact Verification,True,1,,1.0
"A quarter of men in lowand middle-income economies would work for extra money, compared with 18 percent of women. Extra work is nonetheless less reliable than savings, with 7 percent of adults—or one-third of those relying on it—saying the money would be very difficult to get. This may be because in many economies, working more hours might not be possible, especially for people in tight labor markets with low demand for their skills.","According to the text, fill in the blank: Extra work is nonetheless less reliable than savings, with ___ of adults—or one-third of those relying on it—saying the money would be very difficult to get.?",7 percent,Knowledge - Statistics,30%,0,0.0,0.0
"This may be because in many economies, working more hours might not be possible, especially for people in tight labor markets with low demand for their skills. For those reasons and others, there is wide variation between the shares of adults relying on savings and those relying on extra work, even in the same geographic region. For example, savings are the option of choice for only 6 percent of adults in Madagascar, compared with 30 percent of adults who choose extra work; in contrast, 20 percent of adults would rely on savings and 13 percent on work in Liberia.","True or False: Based on the provided text, For those reasons and others, there is wide variation between the shares of adults relying on savings and those relying on extra work, even in the same geographic region.",True,Knowledge - Fact Verification,True,1,,1.0
"For those reasons and others, there is wide variation between the shares of adults relying on savings and those relying on extra work, even in the same geographic region. For example, savings are the option of choice for only 6 percent of adults in Madagascar, compared with 30 percent of adults who choose extra work; in contrast, 20 percent of adults would rely on savings and 13 percent on work in Liberia. Borrowing money and selling assets are much less popular than any of the other sources of extra money, with 7 percent and 9 percent of adults, respectively, 232 The Global Findex Database 2025 in lowand middle-income economies relying on them in 2024.","According to the text, fill in the blank: For example, savings are the option of choice for only ___ of adults in Madagascar, compared with 30 percent of adults who choose extra work; in contrast, 20 percent of adults would rely on savings and 13 percent on work in Liberia.?",6 percent,Knowledge - Statistics,6,1,1.0,1.0
"Figure 4.2.4 Income group classification does not reliably correlate with financial resilience Adults who could come up with emergency money in 30 days or less with some or no difficulty identifying the source of the money (%), 2024 Low-income economies Lower-middleincome economies Upper-middleincome economies 0 South Africa China Eswatini Viet Nam Madagascar Burkina Faso 20 40 60 80 10 30 50 70 90 Source: Global Findex Database 2025. Financial resilience 233 A third of adults in upper-middle-income economies rely on savings, more than 20 percentage points more than in lowand lower-middle-income economies, where 12 percent of adults do. Data from China, where 39 percent of adults rely on savings, drive the high level of reliance on savings in upper-middle-income economies.","According to the text, fill in the blank: Financial resilience 233 A third of adults in upper-middle-income economies rely on savings, more than ___age points more than in lowand lower-middle-income economies, where 12 percent of adults do.?",20 percent,Knowledge - Statistics,20,1,1.0,1.0
"Financial resilience 233 A third of adults in upper-middle-income economies rely on savings, more than 20 percentage points more than in lowand lower-middle-income economies, where 12 percent of adults do. Data from China, where 39 percent of adults rely on savings, drive the high level of reliance on savings in upper-middle-income economies. When data from China are excluded, 16 percent of adults in the uppermiddle-income group of countries rely on savings.","According to the text, fill in the blank: Data from China, where ___ of adults rely on savings, drive the high level of reliance on savings in upper-middle-income economies.?",39 percent,Knowledge - Statistics,39 percent,1,1.0,1.0
"Data from China, where 39 percent of adults rely on savings, drive the high level of reliance on savings in upper-middle-income economies. When data from China are excluded, 16 percent of adults in the uppermiddle-income group of countries rely on savings. In contrast, in low-income economies, 22 percent of adults would sell assets to manage a shock.","According to the text, fill in the blank: When data from China are excluded, ___ of adults in the uppermiddle-income group of countries rely on savings.?",16 percent,Knowledge - Statistics,16,1,1.0,1.0
"Women and low-income adults rely more than men and high-income adults on family or friends for extra money Financial resilience and sources of emergency money differ according to gender and household income (refer to figure 4.2.6). Across lowand middle-income economies, women and men are equally likely to rely on savings, borrowing, or selling assets for money in an emergency. But women are 6 percentage points more likely to rely on family or friends and 7 percentage points less likely to work for extra money.","True or False: Based on the provided text, Across lowand middle-income economies, women and men are equally likely to rely on savings, borrowing, or selling assets for money in an emergency.",True,Knowledge - Fact Verification,False,0,,0.0
"But women are 6 percentage points more likely to rely on family or friends and 7 percentage points less likely to work for extra money. The gap between women’s and men’s reliance on work is more than 15 percentage points in nine economies, four of them in Europe and Central Asia: Algeria, Azerbaijan, Bangladesh, Guinea, Niger, Tajikistan, Ukraine, Uzbekistan, and West Bank and Gaza. Figure 4.2.5 Choices of emergency money vary by country income classification Adults who could come up with emergency money in 30 days or less with some or no difficulty (%), 2024 Upper-middleincome economies Lower-middleincome economies Low-income economies 0 20 40 60 10 30 50 70 80 Savings Work Selling assets Family or friends Borrowing Other Source: Global Findex Database 2025.","According to the text, fill in the blank: The gap between women’s and men’s reliance on work is more than ___age points in nine economies, four of them in Europe and Central Asia: Algeria, Azerbaijan, Bangladesh, Guinea, Niger, Tajikistan, Ukraine, Uzbekistan, and West Bank and Gaza.?",15 percent,Knowledge - Statistics,15,1,1.0,1.0
